D: 2, x: 3, y: 2
D: 254, x: 255, y: 16
D: 255, x: 16, y: 1
D: 257, x: 513, y: 32
D: 258, x: 257, y: 16
D: 260, x: 129, y: 8
D: 264, x: 65, y: 4
D: 266, x: 685, y: 42
D: 272, x: 33, y: 2
D: 273, x: 727, y: 44
D: 275, x: 199, y: 12
D: 279, x: 1520, y: 91
D: 280, x: 251, y: 15
D: 287, x: 288, y: 17
D: 288, x: 17, y: 1
D: 290, x: 579, y: 34
D: 291, x: 290, y: 17
D: 299, x: 415, y: 24
D: 300, x: 1351, y: 78
D: 305, x: 489, y: 28
D: 306, x: 35, y: 2
D: 308, x: 351, y: 20
D: 312, x: 53, y: 3
D: 315, x: 71, y: 4
D: 318, x: 107, y: 6
D: 320, x: 161, y: 9
D: 321, x: 215, y: 12
D: 322, x: 323, y: 18
D: 323, x: 18, y: 1
D: 325, x: 649, y: 36
D: 326, x: 325, y: 18
D: 327, x: 217, y: 12
D: 328, x: 163, y: 9
D: 330, x: 109, y: 6
D: 333, x: 73, y: 4
D: 335, x: 604, y: 33
D: 336, x: 55, y: 3
D: 342, x: 37, y: 2
D: 348, x: 1567, y: 84
D: 350, x: 449, y: 24
D: 359, x: 360, y: 19
D: 360, x: 19, y: 1
D: 362, x: 723, y: 38
D: 363, x: 362, y: 19
D: 368, x: 1151, y: 60
D: 371, x: 1695, y: 88
D: 377, x: 233, y: 12
D: 380, x: 39, y: 2
D: 381, x: 1015, y: 52
D: 390, x: 79, y: 4
D: 392, x: 99, y: 5
D: 395, x: 159, y: 8
D: 396, x: 199, y: 10
D: 398, x: 399, y: 20
D: 399, x: 20, y: 1
D: 401, x: 801, y: 40
D: 402, x: 401, y: 20
D: 404, x: 201, y: 10
D: 405, x: 161, y: 8
D: 408, x: 101, y: 5
D: 410, x: 81, y: 4
D: 420, x: 41, y: 2
D: 427, x: 62, y: 3
D: 432, x: 1351, y: 65
D: 434, x: 125, y: 6
D: 435, x: 146, y: 7
D: 438, x: 293, y: 14
D: 439, x: 440, y: 21
D: 440, x: 21, y: 1
D: 442, x: 883, y: 42
D: 443, x: 442, y: 21
D: 444, x: 295, y: 14
D: 447, x: 148, y: 7
D: 448, x: 127, y: 6
D: 455, x: 64, y: 3
D: 456, x: 1025, y: 48
D: 462, x: 43, y: 2
D: 468, x: 649, y: 30
D: 470, x: 1691, y: 78
D: 473, x: 87, y: 4
D: 480, x: 241, y: 11
D: 482, x: 483, y: 22
D: 483, x: 22, y: 1
D: 485, x: 969, y: 44
D: 486, x: 485, y: 22
D: 488, x: 243, y: 11
D: 495, x: 89, y: 4
D: 504, x: 449, y: 20
D: 505, x: 809, y: 36
D: 506, x: 45, y: 2
D: 507, x: 1351, y: 60
D: 510, x: 271, y: 12
D: 527, x: 528, y: 23
D: 528, x: 23, y: 1
D: 530, x: 1059, y: 46
D: 531, x: 530, y: 23
D: 545, x: 1961, y: 84
D: 546, x: 701, y: 30
D: 552, x: 47, y: 2
D: 555, x: 1814, y: 77
D: 560, x: 71, y: 3
D: 564, x: 95, y: 4
D: 567, x: 2024, y: 85
D: 568, x: 143, y: 6
D: 570, x: 191, y: 8
D: 572, x: 287, y: 12
D: 573, x: 383, y: 16
D: 574, x: 575, y: 24
D: 575, x: 24, y: 1
D: 577, x: 1153, y: 48
D: 578, x: 577, y: 24
D: 579, x: 385, y: 16
D: 580, x: 289, y: 12
D: 582, x: 193, y: 8
D: 584, x: 145, y: 6
D: 588, x: 97, y: 4
D: 592, x: 73, y: 3
D: 600, x: 49, y: 2
D: 602, x: 687, y: 28
D: 612, x: 2177, y: 88
D: 615, x: 124, y: 5
D: 620, x: 249, y: 10
D: 623, x: 624, y: 25
D: 624, x: 25, y: 1
D: 626, x: 1251, y: 50
D: 627, x: 626, y: 25
D: 630, x: 251, y: 10
D: 635, x: 126, y: 5
D: 646, x: 305, y: 12
D: 650, x: 51, y: 2
D: 651, x: 1735, y: 68
D: 656, x: 2049, y: 80
D: 658, x: 1693, y: 66
D: 660, x: 1079, y: 42
D: 663, x: 103, y: 4
D: 672, x: 337, y: 13
D: 674, x: 675, y: 26
D: 675, x: 26, y: 1
D: 677, x: 1353, y: 52
D: 678, x: 677, y: 26
D: 680, x: 339, y: 13
D: 689, x: 105, y: 4
D: 690, x: 1471, y: 56
D: 696, x: 1451, y: 55
D: 702, x: 53, y: 2
D: 707, x: 2526, y: 95
D: 710, x: 1279, y: 48
D: 711, x: 80, y: 3
D: 712, x: 1601, y: 60
D: 720, x: 161, y: 6
D: 723, x: 242, y: 9
D: 726, x: 485, y: 18
D: 727, x: 728, y: 27
D: 728, x: 27, y: 1
D: 730, x: 1459, y: 54
D: 731, x: 730, y: 27
D: 732, x: 487, y: 18
D: 735, x: 244, y: 9
D: 738, x: 163, y: 6
D: 747, x: 82, y: 3
D: 755, x: 1209, y: 44
D: 756, x: 55, y: 2
D: 759, x: 551, y: 20
D: 770, x: 111, y: 4
D: 776, x: 195, y: 7
D: 777, x: 223, y: 8
D: 780, x: 391, y: 14
D: 782, x: 783, y: 28
D: 783, x: 28, y: 1
D: 785, x: 1569, y: 56
D: 786, x: 785, y: 28
D: 788, x: 393, y: 14
D: 791, x: 225, y: 8
D: 792, x: 197, y: 7
D: 798, x: 113, y: 4
D: 799, x: 424, y: 15
D: 812, x: 57, y: 2
D: 813, x: 2167, y: 76
D: 817, x: 343, y: 12
D: 819, x: 1574, y: 55
D: 828, x: 1151, y: 40
D: 839, x: 840, y: 29
D: 840, x: 29, y: 1
D: 842, x: 1683, y: 58
D: 843, x: 842, y: 29
D: 850, x: 2449, y: 84
D: 858, x: 703, y: 24
D: 870, x: 59, y: 2
D: 880, x: 89, y: 3
D: 884, x: 1665, y: 56
D: 885, x: 119, y: 4
D: 888, x: 149, y: 5
D: 890, x: 179, y: 6
D: 894, x: 299, y: 10
D: 895, x: 359, y: 12
D: 896, x: 449, y: 15
D: 897, x: 599, y: 20
D: 898, x: 899, y: 30
D: 899, x: 30, y: 1
D: 901, x: 1801, y: 60
D: 902, x: 901, y: 30
D: 903, x: 601, y: 20
D: 904, x: 451, y: 15
D: 905, x: 361, y: 12
D: 906, x: 301, y: 10
D: 910, x: 181, y: 6
D: 912, x: 151, y: 5
D: 915, x: 121, y: 4
D: 920, x: 91, y: 3
D: 923, x: 638, y: 21
D: 930, x: 61, y: 2
D: 935, x: 1376, y: 45
D: 943, x: 737, y: 24
D: 959, x: 960, y: 31
D: 960, x: 31, y: 1
D: 962, x: 1923, y: 62
D: 963, x: 962, y: 31
D: 975, x: 1249, y: 40
D: 987, x: 377, y: 12
D: 990, x: 881, y: 28
D: 992, x: 63, y: 2
D: 993, x: 2647, y: 84
D: 994, x: 1135, y: 36
